user_id,age,gender,occupation,zipcode,enter_date
1,24,M,technician,85711,"2020-06-27 22:25:17"
2,53,F,other,94043,"2020-06-27 22:25:17"
3,23,M,writer,32067,"2020-06-27 22:25:17"
4,24,M,technician,43537,"2020-06-27 22:25:17"
5,33,F,other,15213,"2020-06-27 22:25:17"
6,42,M,executive,98101,"2020-06-27 22:25:17"
7,57,M,administrator,91344,"2020-06-27 22:25:17"
8,36,M,administrator,05201,"2020-06-27 22:25:17"
9,29,M,student,01002,"2020-06-27 22:25:17"
10,53,M,lawyer,90703,"2020-06-27 22:25:17"
11,39,F,other,30329,"2020-06-27 22:25:17"
12,28,F,other,06405,"2020-06-27 22:25:17"
13,47,M,educator,29206,"2020-06-27 22:25:17"
14,45,M,scientist,55106,"2020-06-27 22:25:17"
15,49,F,educator,97301,"2020-06-27 22:25:17"
16,21,M,entertainment,10309,"2020-06-27 22:25:17"
17,30,M,programmer,06355,"2020-06-27 22:25:17"
18,35,F,other,37212,"2020-06-27 22:25:17"
19,40,M,librarian,02138,"2020-06-27 22:25:17"
20,42,F,homemaker,95660,"2020-06-27 22:25:17"
21,26,M,writer,30068,"2020-06-27 22:25:17"
22,25,M,writer,40206,"2020-06-27 22:25:17"
23,30,F,artist,48197,"2020-06-27 22:25:17"
24,21,F,artist,94533,"2020-06-27 22:25:17"
25,39,M,engineer,55107,"2020-06-27 22:25:17"
26,49,M,engineer,21044,"2020-06-27 22:25:17"
27,40,F,librarian,30030,"2020-06-27 22:25:17"
28,32,M,writer,55369,"2020-06-27 22:25:17"
29,41,M,programmer,94043,"2020-06-27 22:25:17"
30,7,M,student,55436,"2020-06-27 22:25:17"
31,24,M,artist,10003,"2020-06-27 22:25:17"
32,28,F,student,78741,"2020-06-27 22:25:17"
33,23,M,student,27510,"2020-06-27 22:25:17"
34,38,F,administrator,42141,"2020-06-27 22:25:17"
35,20,F,homemaker,42459,"2020-06-27 22:25:17"
36,19,F,student,93117,"2020-06-27 22:25:17"
37,23,M,student,55105,"2020-06-27 22:25:17"
38,28,F,other,54467,"2020-06-27 22:25:17"
39,41,M,entertainment,01040,"2020-06-27 22:25:17"
40,38,M,scientist,27514,"2020-06-27 22:25:17"
41,33,M,engineer,80525,"2020-06-27 22:25:17"
42,30,M,administrator,17870,"2020-06-27 22:25:17"
43,29,F,librarian,20854,"2020-06-27 22:25:17"
44,26,M,technician,46260,"2020-06-27 22:25:17"
45,29,M,programmer,50233,"2020-06-27 22:25:17"
46,27,F,marketing,46538,"2020-06-27 22:25:17"
47,53,M,marketing,07102,"2020-06-27 22:25:17"
48,45,M,administrator,12550,"2020-06-27 22:25:17"
